,title,installs,score,ratings,reviews,size,androidVersion,developer,contentRating,containsAds,released,updated,version
0,BYJU'S – The Learning App,100000000.0,4.1220655,1745108.0,947.0,167M,5.0,BYJU'S,Everyone,False,"Jul 6, 2015",1651664753.0,10.1.1.13300
1,Duolingo: language lessons,100000000.0,4.5738,12512116.0,592133.0,Varies with device,Varies,Duolingo,Everyone,True,"May 29, 2013",1652121759.0,Varies with device
2,"IIT JEE, NEET, NCERT Solutions",50000000.0,4.22,574552.0,307.0,22M,5.0,Doubtnut: Doubt Solving & Video Solutions App,Everyone,False,"Oct 14, 2016",1652125525.0,7.9.67
3,Unacademy Learner App,50000000.0,3.3584905,951700.0,452.0,Varies with device,Varies,Unacademy,Everyone,False,"Feb 15, 2017",1651833530.0,Varies with device
4,Noon Academy – Student Learning App,10000000.0,4.2523365,103191.0,459.0,52M,5.0,Noon Academy,Everyone,False,"Mar 12, 2017",1652216183.0,4.6.32
5,Cambly - English Teacher,10000000.0,4.171521,126401.0,1352.0,99M,5.0,Cambly,Everyone,False,"Feb 17, 2014",1651033831.0,5.1.2
6,Edmodo,10000000.0,3.9538593,459326.0,15292.0,Varies with device,5.0,"Edmodo, Inc",Everyone,True,"Nov 2, 2010",1647559958.0,10.48.0
7,Quizlet: Languages & Vocab,10000000.0,4.673288,466157.0,49990.0,Varies with device,Varies,Quizlet Inc.,Everyone,True,"Aug 20, 2013",1652224566.0,Varies with device
8,Udemy - Online Courses,10000000.0,4.353716,357547.0,13123.0,32M,6.0,Udemy,Everyone,False,"Jan 14, 2014",1651761883.0,7.27.1
9,Teachmint - The Classroom App,10000000.0,3.9672132,134739.0,25.0,44M,5.0,Teachmint Technologies,Everyone,False,"Jun 13, 2020",1652294692.0,5.18.0
10,Memrise Easy Language Learning,10000000.0,4.58008,1452079.0,65279.0,26M,7.0,Memrise,Everyone,True,"May 20, 2013",1649335495.0,2022.4.5.0
11,Sololearn: Learn to Code,10000000.0,4.5160303,554749.0,19226.0,36M,5.0,Sololearn,Teen,True,"Oct 25, 2016",1651312105.0,4.18.2
12,Epic: Kids' Books & Reading,5000000.0,4.3926272,82461.0,24061.0,203M,7.0,Epic! Creations Inc,Everyone,False,"May 21, 2015",1652120180.0,3.55.3
13,LinkedIn Learning: Online Courses to Learn Skills,5000000.0,4.770349,76453.0,1685.0,40M,5.0,LinkedIn,Everyone,False,"Sep 22, 2016",1652020625.0,0.230.4
14,"Cuemath: Math Games, Online Classes & Learning App",1000000.0,4.1034484,35681.0,316.0,60M,5.0,Cuemath,Everyone,False,"Oct 11, 2019",1647418660.0,2.9.0
15,Computer Course,1000000.0,4.225,5631.0,24.0,3.6M,4.1,InnovApp21,Everyone,True,"Jan 30, 2015",1609733279.0,75.0
16,Think and Learn | Parent Connect,1000000.0,3.4615386,8323.0,5.0,22M,4.1,BYJU'S,Everyone,False,"May 21, 2017",1602857044.0,3.4.0
17,Great Learning- Online Courses,1000000.0,4.16,18492.0,51.0,56M,5.0,Great Learning,Everyone,False,"Apr 22, 2015",1650104751.0,4.6.29
18,uLesson Educational App,1000000.0,4.34,12023.0,63.0,70M,5.0,uLesson Education,Everyone,False,"Mar 1, 2020",1651692763.0,1.10.10
19,Pluralsight – The Technology Skills Platform,1000000.0,4.524731,17874.0,1918.0,Varies with device,Varies,Pluralsight,Everyone,False,"Apr 17, 2011",1651510535.0,Varies with device
20,upGrad - Online Learning Courses,1000000.0,4.35,20206.0,16.0,136M,6.0,upGrad,Everyone,False,"May 4, 2016",1652177517.0,5.4.4
